[Name]
inlet

[Spatial Fields]
y

[Data]
y[m],Velocity u [m/s],Velocity v [m/s],Velocity w [m/s]
0.206436,0.299985,0.0,0.0
0.206847,0.299976,0.0,0.0
0.207257,0.299964,0.0,0.0
0.207668,0.299949,0.0,0.0
0.208078,0.299932,0.0,0.0
0.208488,0.299913,0.0,0.0
0.208899,0.299891,0.0,0.0
0.209309,0.299867,0.0,0.0
0.209720,0.299841,0.0,0.0
0.210130,0.299812,0.0,0.0
0.210541,0.299781,0.0,0.0
0.210951,0.299747,0.0,0.0
0.211361,0.299711,0.0,0.0
0.211772,0.299673,0.0,0.0
0.212182,0.299632,0.0,0.0
0.212593,0.299588,0.0,0.0
0.213003,0.299543,0.0,0.0
0.213413,0.299495,0.0,0.0
0.213824,0.299444,0.0,0.0
0.214234,0.299391,0.0,0.0
0.214645,0.299336,0.0,0.0
0.215055,0.299278,0.0,0.0
0.215465,0.299218,0.0,0.0
0.215876,0.299156,0.0,0.0
0.216286,0.299091,0.0,0.0
0.216697,0.299023,0.0,0.0
0.217107,0.298954,0.0,0.0
0.217518,0.298881,0.0,0.0
0.217928,0.298807,0.0,0.0
0.218338,0.298730,0.0,0.0
0.218749,0.298651,0.0,0.0
0.219159,0.298569,0.0,0.0
0.219570,0.298485,0.0,0.0
0.219980,0.298398,0.0,0.0
0.220390,0.298309,0.0,0.0
0.220801,0.298218,0.0,0.0
0.221211,0.298124,0.0,0.0
0.221622,0.298028,0.0,0.0
0.222032,0.297929,0.0,0.0
0.222442,0.297828,0.0,0.0
0.222853,0.297725,0.0,0.0
0.223263,0.297619,0.0,0.0
0.223674,0.297511,0.0,0.0
0.224084,0.297400,0.0,0.0
0.224494,0.297287,0.0,0.0
0.224905,0.297172,0.0,0.0
0.225315,0.297054,0.0,0.0
0.225726,0.296934,0.0,0.0
0.226136,0.296811,0.0,0.0
0.226547,0.296686,0.0,0.0
0.226957,0.296558,0.0,0.0
0.227367,0.296429,0.0,0.0
0.227778,0.296296,0.0,0.0
0.228188,0.296162,0.0,0.0
0.228599,0.296025,0.0,0.0
0.229009,0.295885,0.0,0.0
0.229419,0.295743,0.0,0.0
0.229830,0.295599,0.0,0.0
0.230240,0.295452,0.0,0.0
0.230651,0.295303,0.0,0.0
0.231061,0.295152,0.0,0.0
0.231471,0.294998,0.0,0.0
0.231882,0.294841,0.0,0.0
0.232292,0.294683,0.0,0.0
0.232703,0.294522,0.0,0.0
0.233113,0.294358,0.0,0.0
0.233524,0.294192,0.0,0.0
0.233934,0.294024,0.0,0.0
0.234344,0.293853,0.0,0.0
0.234755,0.293680,0.0,0.0
0.235165,0.293504,0.0,0.0
0.235576,0.293326,0.0,0.0
0.235986,0.293146,0.0,0.0
0.236396,0.292963,0.0,0.0
0.236807,0.292778,0.0,0.0
0.237217,0.292590,0.0,0.0
0.237628,0.292401,0.0,0.0
0.238038,0.292208,0.0,0.0
0.238448,0.292013,0.0,0.0
0.238859,0.291816,0.0,0.0
